"","YEAR","COMMUNITY_AREA","homicides"
"149",2021,"FULLER PARK",10
"150",2021,"GAGE PARK",7
"151",2021,"GARFIELD RIDGE",3
"152",2021,"GRAND BOULEVARD",9
"153",2021,"GREATER GRAND CROSSING",51
"154",2021,"HERMOSA",3
"155",2021,"HUMBOLDT PARK",41
"156",2021,"HYDE PARK",2
"157",2021,"IRVING PARK",4
"158",2021,"KENWOOD",5
"159",2021,"LAKE VIEW",1
"160",2021,"LINCOLN PARK",3
"161",2021,"LINCOLN SQUARE",3
"162",2021,"LOGAN SQUARE",8
"163",2021,"LOOP",3
"164",2021,"LOWER WEST SIDE",16
"165",2021,"MORGAN PARK",7
"166",2021,"NEAR NORTH SIDE",17
"167",2021,"NEAR SOUTH SIDE",8
"168",2021,"NEAR WEST SIDE",23
"169",2021,"NEW CITY",23
"170",2021,"NORTH LAWNDALE",55
"171",2021,"NORTH PARK",3
"172",2021,"OAKLAND",2
"173",2021,"PORTAGE PARK",9
"174",2021,"PULLMAN",2
"175",2021,"RIVERDALE",9
"176",2021,"ROGERS PARK",4
"177",2021,"ROSELAND",20
"178",2021,"SOUTH CHICAGO",14
"179",2021,"SOUTH DEERING",9
"180",2021,"SOUTH LAWNDALE",23
"181",2021,"SOUTH SHORE",43
"182",2021,"UPTOWN",4
"183",2021,"WASHINGTON HEIGHTS",13
"184",2021,"WASHINGTON PARK",17
"185",2021,"WEST ELSDON",3
"186",2021,"WEST ENGLEWOOD",42
"187",2021,"WEST GARFIELD PARK",39
"188",2021,"WEST LAWN",3
"189",2021,"WEST PULLMAN",30
"190",2021,"WEST RIDGE",2
"191",2021,"WEST TOWN",10
"192",2021,"WOODLAWN",17
"193",2022,"ALBANY PARK",11
"194",2022,"ARCHER HEIGHTS",4
"195",2022,"ARMOUR SQUARE",6
"196",2022,"ASHBURN",2
"197",2022,"AUBURN GRESHAM",33
"198",2022,"AUSTIN",33
"199",2022,"AVALON PARK",2
"200",2022,"AVONDALE",1
"201",2022,"BELMONT CRAGIN",3
"202",2022,"BEVERLY",3
"203",2022,"BRIDGEPORT",4
"204",2022,"BRIGHTON PARK",14
"205",2022,"BURNSIDE",3
"206",2022,"CALUMET HEIGHTS",4
"207",2022,"CHATHAM",24
"208",2022,"CHICAGO LAWN",15
"209",2022,"CLEARING",2
"210",2022,"DOUGLAS",10
"211",2022,"DUNNING",1
"212",2022,"EAST GARFIELD PARK",31
"213",2022,"EAST SIDE",1
"214",2022,"EDGEWATER",1
"215",2022,"ENGLEWOOD",24
"216",2022,"FULLER PARK",3
"217",2022,"GAGE PARK",5
"218",2022,"GRAND BOULEVARD",11
"219",2022,"GREATER GRAND CROSSING",28
"220",2022,"HERMOSA",4
"221",2022,"HUMBOLDT PARK",27
"222",2022,"HYDE PARK",3
"223",2022,"IRVING PARK",8
"224",2022,"JEFFERSON PARK",3
"225",2022,"KENWOOD",3
"226",2022,"LAKE VIEW",2
"227",2022,"LINCOLN PARK",1
"228",2022,"LINCOLN SQUARE",1
"229",2022,"LOGAN SQUARE",2
"230",2022,"LOOP",7
"231",2022,"LOWER WEST SIDE",11
"232",2022,"MCKINLEY PARK",1
"233",2022,"MORGAN PARK",7
"234",2022,"NEAR NORTH SIDE",13
"235",2022,"NEAR SOUTH SIDE",3
"236",2022,"NEAR WEST SIDE",25
"237",2022,"NEW CITY",19
"238",2022,"NORTH CENTER",2
"239",2022,"NORTH LAWNDALE",32
"240",2022,"NORTH PARK",1
"241",2022,"OAKLAND",4
"242",2022,"PORTAGE PARK",1
"243",2022,"PULLMAN",2
"244",2022,"RIVERDALE",6
"245",2022,"ROGERS PARK",7
"246",2022,"ROSELAND",24
"247",2022,"SOUTH CHICAGO",21
"248",2022,"SOUTH DEERING",7
"249",2022,"SOUTH LAWNDALE",28
"250",2022,"SOUTH SHORE",34
"251",2022,"UPTOWN",3
"252",2022,"WASHINGTON HEIGHTS",8
"253",2022,"WASHINGTON PARK",10
"254",2022,"WEST ELSDON",2
"255",2022,"WEST ENGLEWOOD",30
"256",2022,"WEST GARFIELD PARK",26
"257",2022,"WEST LAWN",3
"258",2022,"WEST PULLMAN",12
"259",2022,"WEST RIDGE",4
"260",2022,"WEST TOWN",6
"261",2022,"WOODLAWN",11
"262",2023,"ALBANY PARK",3
"263",2023,"ARCHER HEIGHTS",3
"264",2023,"ARMOUR SQUARE",1
"265",2023,"ASHBURN",7
"266",2023,"AUBURN GRESHAM",29
"267",2023,"AUSTIN",44
"268",2023,"AVALON PARK",4
"269",2023,"AVONDALE",2
"270",2023,"BELMONT CRAGIN",7
"271",2023,"BRIDGEPORT",1
"272",2023,"BRIGHTON PARK",3
"273",2023,"CALUMET HEIGHTS",1
"274",2023,"CHATHAM",20
"275",2023,"CHICAGO LAWN",22
"276",2023,"DOUGLAS",6
"277",2023,"EAST GARFIELD PARK",19
